strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths,dst
0 409fad40b1d62eb940fdde6354a74f3e8d454d09,0.1800679867986577,0.9982397809505182,0.1796667972717103,0.9998044201056131,5112,409fad40b1d62eb940fdde6354a74f3e8d454d09
0 9a1c0c332d096dda37d9c78df9082cd782e2c043,0.18791460379818134,0.997654848944682,0.18734865482555574,0.9998620499379225,2136,9a1c0c332d096dda37d9c78df9082cd782e2c043
0 cc406827f27a6e34d2407e7795c952a3ef205827,0.19218948421571277,0.9973361747469366,0.19153377338418967,0.9998934469898775,2136,cc406827f27a6e34d2407e7795c952a3ef205827
0 54d47d36c3b4ee51b0dbf2c15f42f148098292fa,0.19487923407655341,0.997135665306831,0.19416704518625508,0.9999132019789949,2136,54d47d36c3b4ee51b0dbf2c15f42f148098292fa
0 ac1faedbfec77623b9a384b2f01ee6ffd3320f85,0.19492193059651775,0.9964437505421112,0.19403231222056075,0.9999132622083442,8,ac1faedbfec77623b9a384b2f01ee6ffd3320f85
0 3e78d89b752d59d26696f0cff1c8474be63d2414,0.1949698934091649,0.9956664933263997,0.1938809609629784,0.999913329866528,9,3e78d89b752d59d26696f0cff1c8474be63d2414
0 acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd,0.19501778145515164,0.9948904477353425,0.1937298456387672,0.9999133974192431,9,acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd
0 5dbf2ca6d553a063e96da3695d4611563d62737d,0.19416786475227954,0.9949456009594791,0.19289383109582522,0.9999143322196522,126,5dbf2ca6d553a063e96da3695d4611563d62737d
0 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.2144451935510933,0.9165753639067147,0.17818664570810683,1.0781812490217562,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
0 30d2ba7d25a7a0f5b9e3b3bf1c76926b31193c1a,0.2144451935510933,0.9165753639067147,0.17818664570810683,1.0781812490217562,1105,30d2ba7d25a7a0f5b9e3b3bf1c76926b31193c1a
0 eaf7803fe8421370005d6873a34100b474380d38,0.22835961647565178,0.8675145395283441,0.17008955487895142,1.1277561193839074,2869,eaf7803fe8421370005d6873a34100b474380d38
0 63841b50abde7be7f36b38e66695e322dcbc90c9,0.23796204119643333,0.8336573774033269,0.16450170509417347,1.1619680276517605,2869,63841b50abde7be7f36b38e66695e322dcbc90c9
0 12b5d1af19957351a3a7da2294735440bfc34828,0.2449879537335367,0.8088847322889876,0.16041318110154218,1.1870002338087444,2869,12b5d1af19957351a3a7da2294735440bfc34828
18 409fad40b1d62eb940fdde6354a74f3e8d454d09,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 9a1c0c332d096dda37d9c78df9082cd782e2c043,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 cc406827f27a6e34d2407e7795c952a3ef205827,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 54d47d36c3b4ee51b0dbf2c15f42f148098292fa,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 eaf7803fe8421370005d6873a34100b474380d38,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 63841b50abde7be7f36b38e66695e322dcbc90c9,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 12b5d1af19957351a3a7da2294735440bfc34828,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
18 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 409fad40b1d62eb940fdde6354a74f3e8d454d09,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 9a1c0c332d096dda37d9c78df9082cd782e2c043,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 cc406827f27a6e34d2407e7795c952a3ef205827,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 54d47d36c3b4ee51b0dbf2c15f42f148098292fa,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 eaf7803fe8421370005d6873a34100b474380d38,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 63841b50abde7be7f36b38e66695e322dcbc90c9,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 12b5d1af19957351a3a7da2294735440bfc34828,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
19 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 409fad40b1d62eb940fdde6354a74f3e8d454d09 ,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 409fad40b1d62eb940fdde6354a74f3e8d454d09 ,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 409fad40b1d62eb940fdde6354a74f3e8d454d09 ,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
24 409fad40b1d62eb940fdde6354a74f3e8d454d09 ,0.4469874764016993,0.19460796242447592,0.07405158028994467,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 9a1c0c332d096dda37d9c78df9082cd782e2c043 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 9a1c0c332d096dda37d9c78df9082cd782e2c043 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 9a1c0c332d096dda37d9c78df9082cd782e2c043 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
24 9a1c0c332d096dda37d9c78df9082cd782e2c043 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 cc406827f27a6e34d2407e7795c952a3ef205827 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 cc406827f27a6e34d2407e7795c952a3ef205827 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 cc406827f27a6e34d2407e7795c952a3ef205827 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
24 cc406827f27a6e34d2407e7795c952a3ef205827 ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 54d47d36c3b4ee51b0dbf2c15f42f148098292fa ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 54d47d36c3b4ee51b0dbf2c15f42f148098292fa ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 54d47d36c3b4ee51b0dbf2c15f42f148098292fa ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
24 54d47d36c3b4ee51b0dbf2c15f42f148098292fa ,0.4306141476138038,0.076993583868011,0.019813488393312626,1.915673693858845,1090,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 ac1faedbfec77623b9a384b2f01ee6ffd3320f85 ,0.2548503799197472,0.9245283018867925,0.23791762713793782,0.9905660377358491,105,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 ac1faedbfec77623b9a384b2f01ee6ffd3320f85 ,0.2548503799197472,0.9245283018867925,0.23791762713793782,0.9905660377358491,105,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 ac1faedbfec77623b9a384b2f01ee6ffd3320f85 ,0.2548503799197472,0.9245283018867925,0.23791762713793782,0.9905660377358491,105,718d0e361c36b3da6577d2b718a7d2cce626c57b
24 ac1faedbfec77623b9a384b2f01ee6ffd3320f85 ,0.2548503799197472,0.9245283018867925,0.23791762713793782,0.9905660377358491,105,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 3e78d89b752d59d26696f0cff1c8474be63d2414 ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 3e78d89b752d59d26696f0cff1c8474be63d2414 ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 3e78d89b752d59d26696f0cff1c8474be63d2414 ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
24 3e78d89b752d59d26696f0cff1c8474be63d2414 ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
20 acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
21 acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
22 acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd ,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
